Subject;Female_inv_L58;Female_inv_L59;Female_inv_L65;Female_inv_L69;Female_inv_R91;Female_inv_R96;Female_inv_R90;Female_inv_R89;Female_up_L58;Female_up_L59;Female_up_L65;Female_up_L69;Female_up_R91;Female_up_R96;Female_up_R90;Female_up_R89;Male_inv_L58;Male_inv_L59;Male_inv_L65;Male_inv_L69;Male_inv_R91;Male_inv_R96;Male_inv_R90;Male_inv_R89;Male_up_L58;Male_up_L59;Male_up_L65;Male_up_L69;Male_up_R91;Male_up_R96;Male_up_R90;Male_up_R89
1;-0.11596;2.91019;0.75749;-2.14508;2.53390;0.57038;1.65311;-0.85168;3.64375;5.15190;4.81307;1.65047;5.84784;4.56893;6.02756;2.35147;0.41003;3.06035;1.35905;-2.06258;2.72953;0.86669;2.26447;-0.26781;3.23283;4.72407;4.67832;1.12632;5.15449;3.85493;5.14839;1.14762
2;-1.74157;-1.40430;-1.59484;-1.54213;-3.48473;-4.69081;-3.89727;-2.38965;-0.68915;-0.14071;-0.49642;-0.82683;-0.93770;-3.44849;-2.47765;-2.36730;-2.25604;-1.79472;-2.12965;-1.57044;-3.33749;-4.84929;-3.85494;-2.51372;-0.48855;0.21749;-0.06558;-0.48382;-0.48365;-2.27648;-1.61562;-0.51416
3;2.06056;5.44415;3.47558;0.18905;7.08744;4.92722;7.87943;0.11836;9.31531;9.92711;9.47297;4.14912;4.91559;4.71473;6.88570;2.71272;1.20816;4.21002;3.04716;0.34827;6.35915;5.11676;7.59098;1.21515;8.88626;9.95839;9.09583;4.70562;5.90681;6.01947;7.22940;2.49782
4;-0.71457;-0.34837;-1.62434;-1.84340;4.19424;-0.25390;0.38897;-1.07501;0.80174;2.19669;0.44371;-0.41555;4.60345;-0.17091;1.00802;-0.49101;-1.20342;-1.64799;-2.56710;-2.16036;4.65935;0.23176;0.89597;-0.88581;0.20880;1.18997;-0.23488;-0.95379;3.96655;-0.21644;0.56388;-0.72708
5;-2.07652;-1.37302;-0.79443;-1.48957;-1.85839;-4.65760;-3.47634;-2.91445;-1.63420;-0.66061;0.09493;0.01649;1.49303;0.97839;1.73160;1.83791;-1.42915;-0.86510;-0.30759;-0.65023;-2.25819;-5.07969;-2.98254;-2.75138;-0.95232;-0.35283;0.57926;0.93625;1.18437;0.49000;1.70785;1.23089
6;-1.38277;3.35590;0.33382;-1.96421;3.84861;-1.39526;1.79921;-0.64828;-0.69097;3.40414;1.82387;-1.31574;5.21904;1.39159;3.12650;-0.81422;0.81455;3.80978;3.33648;-0.12691;4.23081;1.35752;2.90104;0.29999;0.17070;3.37858;2.42468;-0.98622;5.22244;1.23307;3.21188;-0.19083
7;0.50810;1.26604;1.71040;-0.07942;2.35574;1.46164;1.42781;-0.45984;1.62620;1.83055;4.54505;2.30709;5.24835;5.20218;6.23016;3.93058;0.00357;0.88107;0.54122;-0.76240;1.07867;-0.53479;-0.53422;-1.94959;1.23055;1.68843;2.91169;0.66952;3.86319;3.81977;4.79131;1.99769
8;-1.85431;-2.12530;-3.21371;-3.45153;-3.56433;-4.96018;-8.06933;-6.75065;0.37530;0.46080;-0.70742;-1.13748;-1.42926;-4.41862;-4.23833;-3.36168;-2.46994;-2.57574;-3.41023;-3.80930;-4.07226;-5.26386;-7.73759;-5.51387;0.04236;0.30740;-1.15397;-1.73296;-1.81710;-3.27012;-4.64567;-3.99636
9;1.15794;5.55740;2.04635;0.31774;2.17821;-1.83975;0.61056;-1.51501;4.27697;8.18377;3.83217;2.00829;5.62380;4.04381;4.29976;2.44659;3.14755;6.86504;5.01972;1.34991;4.41104;1.23587;2.88912;0.52491;5.89880;9.57681;6.39162;4.35967;5.41749;4.37479;5.12075;2.95143
10;0.34874;1.30530;1.12558;-1.05171;0.75871;0.35653;0.43884;-0.09211;-0.66680;0.36014;0.45572;-0.81183;1.60477;1.11751;1.46323;0.82297;0.46590;1.33219;1.32335;-0.41648;0.34429;0.05230;0.04237;-0.06820;-0.26360;1.23409;1.14852;-0.34186;2.54843;1.90969;2.18668;1.51946
11;1.84270;1.65059;1.78359;1.04694;1.91940;0.61200;0.98671;0.06461;2.71524;3.02697;2.86651;2.07790;3.91892;2.11258;1.47963;-0.68092;0.66269;1.11730;0.85883;-0.32823;1.30936;0.20153;0.15531;-1.14675;0.94072;1.46575;1.28523;0.85149;2.81776;1.14423;1.49494;0.01423